 DEPTH,BIT,BVOL,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,SPD,TTEN
1120.83,8.5,27.043,8.806,47.014,12.793,56.898,63.729,14.744,9.028,1.929,15.198,45.157,-0.51,1.988,8.54,3188.921
1120.9,8.5,27.039,8.806,46.702,12.791,56.896,61.173,14.745,8.228,1.927,14.015,44.926,-0.536,1.97,8.539,3187.893
1120.98,8.5,27.036,8.806,46.479,12.789,56.897,60.834,14.691,6.986,1.924,12.032,44.663,-0.57,1.978,8.54,3184.959
1121.05,8.5,27.032,8.806,46.287,12.788,56.898,62.33,14.632,5.409,1.923,9.393,44.381,-0.461,2.002,8.54,3181.892
1121.13,8.5,27.029,8.806,48.978,12.786,56.898,63.794,14.594,3.736,1.924,6.501,44.115,-0.478,2.022,8.54,3180.481
1121.21,8.5,27.025,8.806,52.977,12.784,56.899,62.749,14.619,2.246,1.927,3.869,43.892,-0.611,2.023,8.54,3181.215
1121.28,8.5,27.022,8.805,57.005,12.783,56.9,60.15,14.657,1.144,1.933,1.897,43.711,-0.516,2.016,8.54,3182.931
1121.36,8.5,27.018,8.805,59.19,12.781,56.9,57.938,14.656,0.494,1.939,0.729,43.561,-0.527,1.957,8.539,3184.095
1121.44,8.5,27.014,8.805,59.776,12.779,56.9,56.215,14.672,0.211,1.941,0.23,43.42,-0.631,1.884,8.539,3184.011
1121.51,8.5,27.011,8.805,60.508,12.778,56.9,53.84,14.664,0.136,1.937,0.109,43.253,-0.684,1.828,8.539,3183.127
1121.59,8.5,27.007,8.805,59.268,12.776,56.9,50.537,14.662,0.129,1.928,0.1,43.031,-0.627,1.811,8.539,3182.833
1121.66,8.5,27.004,8.805,57.871,12.774,56.899,47.601,14.715,0.129,1.924,0.1,42.753,-0.66,1.807,8.539,3184.279
1121.74,8.5,27,8.805,59.039,12.773,56.898,46.721,14.769,0.128,1.928,0.1,42.42,-0.621,1.814,8.539,3187.4
